LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_entity_default_photo
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(ENTITY_ID,PHOTO_ID,ACTION_TYPE,ACTION_TIME,ACTION_BY)
BEGINDATA
0IHUW6X000XD3MIG,M1GVB10SHO5HQL3L,I,1999010117:49:30-480,-900
0IHUQ1E000X22MIG,B9XEZRQFQ0J3K6WD,I,1999010118:03:58-480,-900
0IHUW6W000XD3MIG,NBJL9DY5LP9S19LO,I,1999010118:26:04-480,-900
0IHV78I000X30MIG,BRNUGX4DZMI46TYZ,I,1999010119:02:14-480,-900
0IHUW6V000XD3MIG,NIVJLT92BK6FYQJF,I,1999010119:06:50-480,-900
0IHUW6Y4C0XD3MIG,BFXH3X75EILOIW45,I,1999010119:38:44-480,-900
0IHVQCF7X0X84MIG,WWJZLPEXW24WLLNF,I,1999010120:42:44-480,-900
0IHUJOD000X22MIG,UG0WON3UYXGUOVG5,I,1999010122:05:32-480,-900
0IHUTPD2C0XD3MIG,HY5PO72WRG03EVLR,I,1999010122:24:44-480,-900
0IHUXUM000XD7MIG,GJSZQR2X7WEE4GN1,I,1999010122:39:10-480,-900
0IHUWIR5R0XD7MIG,M9S2A6D7PFZC5IHZ,I,1999010201:49:12-480,-900
0IHUZ1G2L0XD7MIG,YF5AVLIRIV0EUQ6T,I,1999010201:52:38-480,-900
0IHVANI000X44MIG,HEBEIRHSQCJAVJWI,I,1999010201:56:48-480,-900
0IHUW77000XD3MIG,P8AGNKACZ4A4NPQ7,I,1999010202:00:44-480,-900
0IHUTO42X0XD3MIG,IFRH0SYW3NCBM215,I,1999010205:25:18-480,-900
0IHUXO8000XD7MIG,DUT1C6NGHUVSZRT2,I,1999010205:35:10-480,-900
0IHV3W6090XD1MIG,RGD3SSAXGWDL5SFE,I,1999010205:42:14-480,-900
0IHUW782X0XD3MIG,ERRLMTVFLBQ0EIMN,I,1999010205:55:50-480,-900
0IHUW78000XD3MIG,YTX06LJBT6E7J60I,I,1999010206:00:44-480,-900
0IHUQYX000XD3MIG,MQ1K75KDJPDCCU2U,I,1999010206:12:30-480,-900
0IHUW7Q3J0XD3MIG,I2CUQGWE598IZ9FH,I,1999010221:26:12-480,-900
0IHUW7P8A0XD3MIG,TD77O5PSTJ0LMKZE,I,1999010221:28:54-480,-900
0IHUW7P5D0XD3MIG,SA3CV6LN8ZNNK9IA,I,1999010221:44:18-480,-900
0IHUW7R000XD3MIG,Y25FK9FG5I0K6Y6M,I,1999010301:26:36-480,-900
0IHUT9X000XD3MIG,QGZ2RC33W65CZ52X,I,1999010301:28:38-480,-900
0IHUWFG0G0XD7MIG,OKJMV6HOQQP3SE9P,I,1999010301:30:26-480,-900
0IHUIHPXX0X31MIG,EZFZGSP3B3888VPC,I,1999010305:46:12-480,-900
0IHUW7R2I0XD3MIG,YWT5W9ZVQKMC8IPB,I,1999010306:08:12-480,-900
0IHVR07000X84MIG,Q7FGXX7DWDGV3MPY,I,1999010322:08:40-480,-900
0IHUW83000XD3MIG,ZXN37G1DO6C9EO0P,I,1999010400:53:48-480,-900
0IHUW882C0XD3MIG,MTGVFRXNF0FYDBWV,I,1999010401:04:42-480,-900
0IHUW88000XD3MIG,ZFI0ODBFHEDTVBHU,I,1999010401:05:42-480,-900
0IHUL9Z000X23MIG,R3TY7IOWXOB0SW5K,I,1999010405:12:24-480,-900
0IHV8B1000X31MIG,WQ8LSREKBZN5Q7L6,I,1999010406:06:20-480,-900
0IHUW891S0XD3MIG,IJL4U7R1P6R9FJHW,I,1999010406:17:36-480,-900
0IHUW8C000XD3MIG,BXZPZHYKFDBPRFIR,I,1999010413:43:08-480,-900
0IHV1XZ170XD2MIG,ZL776R0B7LWLEFIC,I,1999010417:52:28-480,-900
0IHV52Z8F0XD1MIG,R7SQYOD3F98S99JT,I,1999010422:12:34-480,-900
0IHURP00V0XD3MIG,AGRPSXSPX6IU4RBM,I,1999010422:14:18-480,-900
0IHUW8J000XD3MIG,T7MA0H9PXI8VUZ4B,I,1999010422:19:36-480,-900
0IHV513000X31MIG,MOMJD0CJ0ODVCD4Z,I,1999010501:42:14-480,-900
0IHUW8L0X0XD3MIG,L4WTWU8RI5TLXZL0,I,1999010501:42:56-480,-900
0IHUOWD000XD3MIG,PAUG0SJ8MFOAUVUW,I,1999010501:43:56-480,-900
0IHULCWDQ0XD3MIG,LDZWPUS5BVCLQNSB,I,1999010501:52:32-480,-900
0IHUTGF000XD3MIG,QM3I3CRL4SYRRSNQ,I,1999010501:54:02-480,-900
0IHUVI7490XD3MIG,PJX5HF4S085BM73B,I,1999010502:07:20-480,-900
0IHUW8K340XD3MIG,ZB6AF9L3MPJOLHBK,I,1999010502:08:06-480,-900
0IHUPT70A0XD1MIG,TTVCINTZ7QW34VVA,I,1999010502:08:56-480,-900
0IHUU3M1N0XD3MIG,BE27Y8MHA4WT6Z84,I,1999010502:09:54-480,-900
0IHUT22000XD1MIG,XO12WK6KFA3A3HS1,I,1999010502:28:14-480,-900
0IHUL8BYO0XD3MIG,K6UJ8G0YWC5QHZKY,I,1999010502:28:54-480,-900
0IHUMYP1N0XD3MIG,SKT8LRPSUJLXNHVT,I,1999010502:30:06-480,-900
0IHURVQ1L0XD3MIG,J60O899RD9WW644J,I,1999010502:30:52-480,-900
0IHUNDK000XD2MIG,S69LX5NCBNR6A9EC,I,1999010504:23:46-480,-900
0IHVKP8F10X84MIG,KW23RIY6VT1EOOSQ,I,1999010504:28:08-480,-900
0IHUMO11A0XD2MIG,GH92F947HJAI3B5V,I,1999010505:19:42-480,-900
0IHUYEW2X0XD7MIG,JKCYWCK6RIEKC4FG,I,1999010505:21:02-480,-900
0IHVKLZWH0X84MIG,QTDFRI6EADQHMMPD,I,1999010505:22:10-480,-900
0IHUW8S3U0XD3MIG,RH7WN0NGTLW9NANQ,I,1999010505:30:54-480,-900
0IHUW8L500XD3MIG,I3T69O5K2X9SNJ5E,I,1999010505:31:44-480,-900
0IHUW8X000XD3MIG,UFLPWKL95DHPKDVZ,I,1999010505:33:28-480,-900
0IHUW94090XD3MIG,MIOAO206K2BSYX7Z,I,1999010505:40:08-480,-900
0IHUOY0000X31MIG,AMNFOKM9FBHM9J57,I,1999010505:41:08-480,-900
0IHUW93000XD3MIG,GJFY2MJEP86JWNKM,I,1999010505:43:10-480,-900
0IHUI0H000X30MIG,JVSHDI9P1UP7YRMI,I,1999010505:44:04-480,-900
0IHUW8Z0Y0XD3MIG,XL6L1UTGXMA2WDJG,I,1999010505:53:46-480,-900
0IHUW8V000XD3MIG,BGYRP8M8P87YLL1N,I,1999010505:58:58-480,-900
0IHUNC3000XD3MIG,DD3LAEGQK3I99R4M,I,1999010506:12:00-480,-900
