LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_entity_photo
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(ENTITY_ID,PHOTO_ID,DATE_TAKEN,ACTION_TYPE,ACTION_TIME,ACTION_BY)
BEGINDATA
0IHUW6X000XD3MIG,M1GVB10SHO5HQL3L,1999010117:49:30-480,I,1999010117:49:30-480,-900
0IHUW6X000XD3MIG,Z1VE3PBFKKOXXIES,1999010117:49:42-480,I,1999010117:49:42-480,-900
0IHUQ1E000X22MIG,B9XEZRQFQ0J3K6WD,1999010118:03:58-480,I,1999010118:03:58-480,-900
0IHUQ1E000X22MIG,SQYS9XXND71CE3G0,1999010118:04:08-480,I,1999010118:04:08-480,-900
0IHUW6W000XD3MIG,NBJL9DY5LP9S19LO,1999010118:26:04-480,I,1999010118:26:04-480,-900
0IHUW6W000XD3MIG,Z723WUTS4V1QUTE5,1999010118:26:18-480,I,1999010118:26:18-480,-900
0IHV78I000X30MIG,BRNUGX4DZMI46TYZ,1999010119:02:14-480,I,1999010119:02:14-480,-900
0IHV78I000X30MIG,ZX7JTTO4ICH6M5OP,1999010119:02:24-480,I,1999010119:02:24-480,-900
0IHUW6V000XD3MIG,NIVJLT92BK6FYQJF,1999010119:06:50-480,I,1999010119:06:50-480,-900
0IHUW6V000XD3MIG,QMLR08O1BG3D1X6H,1999010119:06:58-480,I,1999010119:06:58-480,-900
0IHUW6Y4C0XD3MIG,BFXH3X75EILOIW45,1999010119:38:44-480,I,1999010119:38:44-480,-900
0IHUW6Y4C0XD3MIG,CXO9463GQ5PB4RDH,1999010119:38:58-480,I,1999010119:38:58-480,-900
0IHUW76000XD3MIG,CQFKNVS2SGNPYK1S,1999010120:28:02-480,I,1999010120:28:02-480,-900
0IHUW76000XD3MIG,H3OJAR3T8N13ABFO,1999010120:28:16-480,I,1999010120:28:16-480,-900
0IHVQCF7X0X84MIG,WWJZLPEXW24WLLNF,1999010120:42:44-480,I,1999010120:42:44-480,-900
0IHVQCF7X0X84MIG,R3DILGYGO49J0Z1C,1999010120:42:56-480,I,1999010120:42:56-480,-900
0IHUJOD000X22MIG,UG0WON3UYXGUOVG5,1999010122:05:32-480,I,1999010122:05:32-480,-900
0IHUJOD000X22MIG,DP7IAOMGNEKL2AG3,1999010122:05:44-480,I,1999010122:05:44-480,-900
0IHUTPD2C0XD3MIG,HY5PO72WRG03EVLR,1999010122:24:44-480,I,1999010122:24:44-480,-900
0IHUTPD2C0XD3MIG,F1J3KFD7G8UIRX2M,1999010122:24:56-480,I,1999010122:24:56-480,-900
0IHUXUM000XD7MIG,GJSZQR2X7WEE4GN1,1999010122:39:10-480,I,1999010122:39:10-480,-900
0IHUXUM000XD7MIG,E878C9YF8JUAJIXT,1999010122:39:20-480,I,1999010122:39:20-480,-900
0IHUWIR5R0XD7MIG,M9S2A6D7PFZC5IHZ,1999010201:49:12-480,I,1999010201:49:12-480,-900
0IHUWIR5R0XD7MIG,Z5CIQRDHREILNJZS,1999010201:49:20-480,I,1999010201:49:20-480,-900
0IHUZ1G2L0XD7MIG,YF5AVLIRIV0EUQ6T,1999010201:52:38-480,I,1999010201:52:38-480,-900
0IHUZ1G2L0XD7MIG,ISZEHLET09LV7JQM,1999010201:52:46-480,I,1999010201:52:46-480,-900
0IHVANI000X44MIG,HEBEIRHSQCJAVJWI,1999010201:56:48-480,I,1999010201:56:48-480,-900
0IHVANI000X44MIG,TUUUD116WCZFQRXP,1999010201:56:54-480,I,1999010201:56:54-480,-900
0IHUW77000XD3MIG,P8AGNKACZ4A4NPQ7,1999010202:00:44-480,I,1999010202:00:44-480,-900
0IHUW77000XD3MIG,YMRQCXU22O8Q91SZ,1999010202:00:50-480,I,1999010202:00:50-480,-900
0IHV3W6090XD1MIG,FGI6PW9T05OYJ9J4,1999010205:23:58-480,I,1999010205:23:58-480,-900
0IHV3W6090XD1MIG,VOT4ZWD3B0TKSSU1,1999010205:24:08-480,I,1999010205:24:08-480,-900
0IHUTO42X0XD3MIG,IFRH0SYW3NCBM215,1999010205:25:18-480,I,1999010205:25:18-480,-900
0IHUTO42X0XD3MIG,P5FQXAEQYHGTED5U,1999010205:25:26-480,I,1999010205:25:26-480,-900
0IHUP8Y1K0X23MIG,TZ9X63DHD086DWBU,1999010205:30:04-480,I,1999010205:30:04-480,-900
0IHUP8Y1K0X23MIG,HW3TWWH346EPZJGO,1999010205:30:10-480,I,1999010205:30:10-480,-900
