LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_nist_mugshot
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(PHOTO_ID,IMAGE_POSE,POSE_OFFSET_ANGLE,GLASSES_FLAG,HAT_FLAG,SCARF_FLAG,PHYSICAL_FLAG,OTHER_FLAG,DESCRIPTION,ACTION_TYPE,ACTION_TIME,ACTION_BY)
BEGINDATA
M1GVB10SHO5HQL3L,FRONT,F0,N,N,N,N,N,,I,1999010117:49:30-480,-900
Z1VE3PBFKKOXXIES,SIDE,L90,N,N,N,N,N,,I,1999010117:49:42-480,-900
B9XEZRQFQ0J3K6WD,FRONT,F0,N,N,N,N,N,,I,1999010118:03:58-480,-900
SQYS9XXND71CE3G0,SIDE,L90,N,N,N,N,N,,I,1999010118:04:08-480,-900
NBJL9DY5LP9S19LO,FRONT,F0,N,N,N,N,N,,I,1999010118:26:04-480,-900
Z723WUTS4V1QUTE5,SIDE,L90,N,N,N,N,N,,I,1999010118:26:18-480,-900
BRNUGX4DZMI46TYZ,FRONT,F0,N,N,N,N,N,,I,1999010119:02:14-480,-900
ZX7JTTO4ICH6M5OP,SIDE,L90,N,N,N,N,N,,I,1999010119:02:24-480,-900
NIVJLT92BK6FYQJF,FRONT,F0,N,N,N,N,N,,I,1999010119:06:50-480,-900
QMLR08O1BG3D1X6H,SIDE,L90,N,N,N,N,N,,I,1999010119:06:58-480,-900
BFXH3X75EILOIW45,FRONT,F0,N,N,N,N,N,,I,1999010119:38:44-480,-900
CXO9463GQ5PB4RDH,SIDE,L90,N,N,N,N,N,,I,1999010119:38:58-480,-900
CQFKNVS2SGNPYK1S,FRONT,F0,N,N,N,N,N,,I,1999010120:28:02-480,-900
H3OJAR3T8N13ABFO,SIDE,L90,N,N,N,N,N,,I,1999010120:28:16-480,-900
WWJZLPEXW24WLLNF,FRONT,F0,N,N,N,N,N,,I,1999010120:42:44-480,-900
R3DILGYGO49J0Z1C,SIDE,L90,N,N,N,N,N,,I,1999010120:42:56-480,-900
UG0WON3UYXGUOVG5,FRONT,F0,N,N,N,N,N,,I,1999010122:05:32-480,-900
DP7IAOMGNEKL2AG3,SIDE,L90,N,N,N,N,N,,I,1999010122:05:44-480,-900
HY5PO72WRG03EVLR,FRONT,F0,N,N,N,N,N,,I,1999010122:24:44-480,-900
F1J3KFD7G8UIRX2M,SIDE,L90,N,N,N,N,N,,I,1999010122:24:56-480,-900
GJSZQR2X7WEE4GN1,FRONT,F0,N,N,N,N,N,,I,1999010122:39:10-480,-900
E878C9YF8JUAJIXT,SIDE,L90,N,N,N,N,N,,I,1999010122:39:20-480,-900
M9S2A6D7PFZC5IHZ,FRONT,F0,N,N,N,N,N,,I,1999010201:49:12-480,-900
Z5CIQRDHREILNJZS,SIDE,L90,N,N,N,N,N,,I,1999010201:49:20-480,-900
YF5AVLIRIV0EUQ6T,FRONT,F0,N,N,N,N,N,,I,1999010201:52:38-480,-900
ISZEHLET09LV7JQM,SIDE,L90,N,N,N,N,N,,I,1999010201:52:46-480,-900
HEBEIRHSQCJAVJWI,FRONT,F0,N,N,N,N,N,,I,1999010201:56:48-480,-900
TUUUD116WCZFQRXP,SIDE,L90,N,N,N,N,N,,I,1999010201:56:54-480,-900
P8AGNKACZ4A4NPQ7,FRONT,F0,N,N,N,N,N,,I,1999010202:00:44-480,-900
YMRQCXU22O8Q91SZ,SIDE,L90,N,N,N,N,N,,I,1999010202:00:50-480,-900
FGI6PW9T05OYJ9J4,FRONT,F0,N,N,N,N,N,,I,1999010205:23:58-480,-900
VOT4ZWD3B0TKSSU1,SIDE,L90,N,N,N,N,N,,I,1999010205:24:08-480,-900
IFRH0SYW3NCBM215,FRONT,F0,N,N,N,N,N,,I,1999010205:25:18-480,-900
P5FQXAEQYHGTED5U,SIDE,L90,N,N,N,N,N,,I,1999010205:25:26-480,-900
TZ9X63DHD086DWBU,FRONT,F0,N,N,N,N,N,,I,1999010205:30:04-480,-900
HW3TWWH346EPZJGO,SIDE,L90,N,N,N,N,N,,I,1999010205:30:10-480,-900
