LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_epicimage
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(IMAGEREF,VOLUMEID,ARCHIVEFLAG,IMAGEFILENAME)
BEGINDATA
M1GVB10SHO5HQL3L,VOL199952,N,M1GVB10SHO5HQL3L.JPG
Z1VE3PBFKKOXXIES,VOL199952,N,Z1VE3PBFKKOXXIES.JPG
B9XEZRQFQ0J3K6WD,VOL199952,N,B9XEZRQFQ0J3K6WD.JPG
SQYS9XXND71CE3G0,VOL199952,N,SQYS9XXND71CE3G0.JPG
NBJL9DY5LP9S19LO,VOL199952,N,NBJL9DY5LP9S19LO.JPG
Z723WUTS4V1QUTE5,VOL199952,N,Z723WUTS4V1QUTE5.JPG
BRNUGX4DZMI46TYZ,VOL199952,N,BRNUGX4DZMI46TYZ.JPG
ZX7JTTO4ICH6M5OP,VOL199952,N,ZX7JTTO4ICH6M5OP.JPG
NIVJLT92BK6FYQJF,VOL199952,N,NIVJLT92BK6FYQJF.JPG
QMLR08O1BG3D1X6H,VOL199952,N,QMLR08O1BG3D1X6H.JPG
BFXH3X75EILOIW45,VOL199952,N,BFXH3X75EILOIW45.JPG
CXO9463GQ5PB4RDH,VOL199952,N,CXO9463GQ5PB4RDH.JPG
CQFKNVS2SGNPYK1S,VOL199952,N,CQFKNVS2SGNPYK1S.JPG
H3OJAR3T8N13ABFO,VOL199952,N,H3OJAR3T8N13ABFO.JPG
WWJZLPEXW24WLLNF,VOL199952,N,WWJZLPEXW24WLLNF.JPG
R3DILGYGO49J0Z1C,VOL199952,N,R3DILGYGO49J0Z1C.JPG
UG0WON3UYXGUOVG5,VOL199952,N,UG0WON3UYXGUOVG5.JPG
DP7IAOMGNEKL2AG3,VOL199952,N,DP7IAOMGNEKL2AG3.JPG
HY5PO72WRG03EVLR,VOL199952,N,HY5PO72WRG03EVLR.JPG
F1J3KFD7G8UIRX2M,VOL199952,N,F1J3KFD7G8UIRX2M.JPG
GJSZQR2X7WEE4GN1,VOL199952,N,GJSZQR2X7WEE4GN1.JPG
E878C9YF8JUAJIXT,VOL199952,N,E878C9YF8JUAJIXT.JPG
M9S2A6D7PFZC5IHZ,VOL199952,N,M9S2A6D7PFZC5IHZ.JPG
Z5CIQRDHREILNJZS,VOL199952,N,Z5CIQRDHREILNJZS.JPG
YF5AVLIRIV0EUQ6T,VOL199952,N,YF5AVLIRIV0EUQ6T.JPG
ISZEHLET09LV7JQM,VOL199952,N,ISZEHLET09LV7JQM.JPG
HEBEIRHSQCJAVJWI,VOL199952,N,HEBEIRHSQCJAVJWI.JPG
TUUUD116WCZFQRXP,VOL199952,N,TUUUD116WCZFQRXP.JPG
P8AGNKACZ4A4NPQ7,VOL199952,N,P8AGNKACZ4A4NPQ7.JPG
YMRQCXU22O8Q91SZ,VOL199952,N,YMRQCXU22O8Q91SZ.JPG
FGI6PW9T05OYJ9J4,VOL199952,N,FGI6PW9T05OYJ9J4.JPG
VOT4ZWD3B0TKSSU1,VOL199952,N,VOT4ZWD3B0TKSSU1.JPG
IFRH0SYW3NCBM215,VOL199952,N,IFRH0SYW3NCBM215.JPG
P5FQXAEQYHGTED5U,VOL199952,N,P5FQXAEQYHGTED5U.JPG
TZ9X63DHD086DWBU,VOL199952,N,TZ9X63DHD086DWBU.JPG
HW3TWWH346EPZJGO,VOL199952,N,HW3TWWH346EPZJGO.JPG
DUT1C6NGHUVSZRT2,VOL199952,N,DUT1C6NGHUVSZRT2.JPG
XL05CT620R7BCYJP,VOL199952,N,XL05CT620R7BCYJP.JPG
RGD3SSAXGWDL5SFE,VOL199952,N,RGD3SSAXGWDL5SFE.JPG
